,OLS,LSTM
2022-05-01,1.3639390530782174,1.8780684
2022-06-01,1.3558229026946589,1.9197894
2022-07-01,1.3535638905647223,1.9934893
2022-08-01,1.3294054040511538,2.097358
2022-09-01,1.3025306679335151,2.3548682
2022-10-01,1.2684439176248816,2.9065506
2022-11-01,1.2357713076054493,3.5803874
2022-12-01,1.200200503384424,3.7733665
2023-01-01,1.1773264074039798,3.8327837
2023-02-01,1.1573887937574048,3.8609567
2023-03-01,1.145109105657614,3.9067376
2023-04-01,1.1228813313186237,3.9225516
2023-05-01,1.080980790961115,3.9282815
2023-06-01,1.041593206732836,3.9426947
2023-07-01,1.0027277970443764,3.9578986
2023-08-01,0.9526826323718092,3.92596
2023-09-01,0.9083366756536688,3.9149349
2023-10-01,0.8585571367321794,3.8882604
2023-11-01,0.8135013844734994,3.8619375
2023-12-01,0.7683434972125935,3.8377397
2024-01-01,0.73730753861521,3.856362
2024-02-01,0.7107014977044257,3.8726559
2024-03-01,0.6928346130972626,3.9139626
2024-04-01,0.6656725307081337,3.9276915
2024-05-01,0.617907374922668,3.9319134
2024-06-01,0.5730444661229284,3.945015
2024-07-01,0.5289986402393156,3.9592845
