,alpha,beta,p-value,adjusted_r-squared,pearson_r,spearman_r,kendal_tau
GDP,-133.0378901139798,0.01852022328057492,3.290978714629726e-126,0.8051381540565758,0.8976050925589955,0.9418464787776868,0.8362040897174854
GDPC1,-327.12944110540815,0.030434684639977658,1.0675160143815254e-98,0.7199435138002219,0.8489662391340212,0.9491976008987771,0.8438232613777813
CPIAUCSL,-335.0490021494773,2.266233364592978,3.96351335382024e-108,0.7497147019407326,0.8662700072425356,0.9387536434514303,0.834076344821328
UNRATE,193.63480769765704,-10.59659734190142,0.0003966350210779859,0.03232724056541525,-0.1872659156655203,-0.27978999769576435,-0.2352480051393046
EMVOVERALLEMV,132.80556960493257,-0.01597120615155609,0.9807898671580133,-0.0028392549577909154,-0.0012843080582779416,-0.054443014375707866,-0.039548655574847796
APU00007471A,-3.010506082969785,59.02195426654497,1.6116297909907123e-27,0.2834205203937217,0.5342756690987402,0.7240063931258922,0.5151085955527551
PAYEMS,-956.4392209788455,0.008140327675791424,1.1520340080612613e-84,0.6599095064140121,0.8129409176405824,0.9242489061122326,0.7899774324172922
MCOILWTICO,65.2582580449448,1.295447187886047,1.5650715474927036e-13,0.14115939307848213,0.37893583797531694,0.6415020384580585,0.4488355351336365
DSPIC96,-270.9619817221615,0.035463555372247324,9.592262824671242e-114,0.7683954028138602,0.8769568805930555,0.934984130968025,0.8199560574255716
PCE,-123.92746776826533,0.026703632277175374,6.695446968131737e-124,0.7972678762585093,0.8932210363576676,0.9399430072118841,0.8329711720621273
GS3M,183.7645517337146,-22.523452253183574,3.210428273312597e-21,0.22238199560206873,-0.47390387154698216,-0.5432321360935851,-0.3512322752276221
GS5,239.07328609875515,-31.673380085354754,8.449056320130122e-39,0.38123254885319013,-0.6188581672330554,-0.729271193912232,-0.49895092756930126
CSUSHPINSA,-128.27985405594035,1.7427622875702848,1.5373147883851332e-117,0.7805875142712144,0.8838623315133204,0.8823045728324245,0.7373976106452553
PPIACO,-239.2709863929238,2.218424344577584,5.846155285003947e-78,0.6287772883270417,0.7936176098976842,0.8659269972572151,0.6795501023916755
FEDFUNDS,185.16194732059392,-22.081702330062154,4.27632077969976e-22,0.23115647820882768,-0.48304710451749966,-0.5636349167979128,-0.36147658393322096
IQ12260,7.798283775916373,0.4113621445746553,4.605447481781345e-70,0.5958089261875568,0.77264293724968,0.7767309901483463,0.5409057711539015
WM2NS,-44.89081445303115,0.020188454860789212,6.621933044240879e-203,0.9269835459988901,0.9629069566517758,0.9365053032166383,0.8300574538856971
WALCL,29.32530127879984,4.301013432914877e-05,7.57046529777479e-100,0.8524635329689266,0.9236280027642322,0.8932564392070805,0.7098158416839315
MORTGAGE30US,379.9845239104304,-44.01971212178448,3.579058879043346e-59,0.5245784446250272,-0.7252044148852268,-0.812263716622607,-0.6057712120867004
BAMLC0A4CBBBEY,359.9848086979522,-40.41994938632121,1.7971915501458292e-47,0.49343022223341326,-0.7036156118962142,-0.8014161832361243,-0.5823826083593241
T10YIE,196.94492292309732,-12.627196839623341,0.4379968096096387,-0.0016897081844993167,-0.05072278789686453,-0.168625532488372,-0.14666598511316353
T10Y2Y,157.30870856854938,-21.75138092918523,0.0004085834364016804,0.032084751490873864,-0.18659843342514598,-0.14257609417806097,-0.11651339377251496
BAMLH0A0HYM2,212.10000060905114,-11.762541725652344,5.2530270605271455e-08,0.08916143220048145,-0.30351062630120984,-0.2484729014878411,-0.2045641659918109
DTWEXBGS,-605.8654298739505,7.722094895282504,3.7540838001267906e-45,0.6326706360319696,0.7965654475514324,0.7647864432511289,0.5446504856367341
VIXCLS,134.73391048220927,-0.07439993603910333,0.9112216708134007,-0.0027974945875506307,-0.005938576984014237,-0.05680578933114557,-0.05065225623788885
